"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2018","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2001","2001",19274701,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2002","2002",19495210,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2003","2003",19720737,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2004","2004",19932722,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2005","2005",20176844,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2006","2006",20450966,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2007","2007",20827622,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2008","2008",21249199,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2009","2009",21691653,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2010","2010",22031750,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2011","2011",22340024,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2012","2012",22733465,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2013","2013",23128129,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2014","2014",23475686,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2015","2015",23815995,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2016","2016",24190907,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2017","2017",24601860,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","0","Australia","A","Annual","2018","2018",24992860,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","2","Victoria","A","Annual","2001","2001",4763615,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","2","Victoria","A","Annual","2002","2002",4817774,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","2","Victoria","A","Annual","2003","2003",4873809,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","2","Victoria","A","Annual","2004","2004",4927149,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","2","Victoria","A","Annual","2005","2005",4989246,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","2","Victoria","A","Annual","2006","2006",5061266,,
